"userId","roomId","studyId","gMO","discussionId","reciept","curr","message","round"
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",136,"2-0","l","2014-07-24 12:36:22","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""8-6""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":136}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",137,"2-0","l","2014-07-24 12:36:23","{""type"":""link"",""userId"":""user@Hu0AYDBrqR"",""comment"":{""userId"":""user@Hu0AYDBrqR"",""text"":""0-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user D"",""userColor"":""#9999FF"",""current-population"":4,""gMO"":137}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",138,"2-0","l","2014-07-24 12:36:23","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-5""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":138}",1
"user@Hu0AYDBrqR","T79MYOvpUx","zzS3x7G14l",139,"2-0","l","2014-07-24 12:36:23","{""type"":""link"",""userId"":""user@Hu0AYDBrqR"",""comment"":{""userId"":""user@Hu0AYDBrqR"",""text"":""0-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user D"",""userColor"":""#9999FF"",""current-population"":4,""gMO"":139}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",140,"2-0","l","2014-07-24 12:36:24","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-6""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":140}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",141,"2-0","l","2014-07-24 12:36:25","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""10-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":141}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",142,"2-0","l","2014-07-24 12:36:25","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-6""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":142}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",143,"2-0","l","2014-07-24 12:36:26","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""10-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":143}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",144,"2-0","l","2014-07-24 12:36:27","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""8-7""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":144}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",145,"2-0","l","2014-07-24 12:36:27","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""11-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":145}",1
